id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
29785,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Basics Men Blue T-shirt
7925,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy Polo T-shirt
3264,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Guerrilla Men's Kill You Green T-shirt
18920,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Levis Men Work Western Purple Shirt
38594,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Women White Scoop T-shirt
3351,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Black Letter Equals White T-shirt
52145,Women,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Femella Women Grey Polo T-Shirt
38287,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Kids Ville Girls Pink Top
35985,Women,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Flying Machine Women Poppy Red T-shirt
2201,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Adidas Men Black Polo T-shirt
41990,Boys,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Check Black Shirt
3744,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Cool Royal Blue Kidswear
9655,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Bling Blue Shirts
17177,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Green Shirt
37598,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Madagascar3 Boys Blue Printed T-Shirt
22392,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,ADIDAS Women Whalf Striper White Top
28681,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Proline Men Blue Printed T-shirt
17898,Men,Apparel,Topwear,Jackets,Grey,Fall,2011.0,Casual,Nike Men Casual Grey Jacket
10870,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Wrangler Men Fly The Wind Blue T-Shirts
22476,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Timberland Men Blue T-shirt
57030,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Forever New Women Pink Top
7509,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Women's Line 9 Turquoise Blue T-shirt
24335,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,ADIDAS Men Grey T-shirt
38521,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Angry Birds Men White T-shirt
43084,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Sports,Nike Women Green T-shirt
3543,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's I'm not a nut White T-shirt
14307,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,ADIDAS Men Printed White Sweatshirts
48442,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,French Connection Men White Printed T-shirt
32502,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Formal,Scullers Men Striped Brown Shirt
31602,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Mark Taylor Men Printed Purple T-shirt
33548,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Wrangler Men Nimrod Oxford Blue Shirt
5414,Girls,Apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,Ant Kids Girl's Purple Top With Sequins Kidswear
42234,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Sepia Women Blue Printed Top
24554,Men,Apparel,Topwear,Tshirts,Green,Spring,2013.0,Casual,Wildcraft Men Green Printed T-Shirt
16625,Men,Apparel,Topwear,Tshirts,Red,Summer,2016.0,Casual,Facit Men Smart Red Tshirt
48448,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,French Connection Men Purple T-shirt
7468,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Proline Men Black Polo T-shirt
15698,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Black coffee Men Micheal Blue Slim Fit Shirt
23695,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Proline Men Purple Polo T-shirt
14920,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Mr. Men Men Music Rocks LT.Grey Tshirts
17192,Men,Apparel,Topwear,Shirts,Maroon,Winter,2016.0,Casual,U.S. Polo Assn. Men Stripes Maroon Shirt
5231,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Classic Polo Men's Cari Navy Polo T-shirt
28856,Men,Apparel,Topwear,Tshirts,Mustard,Summer,2013.0,Casual,Proline Men Mustard T-shirt
8802,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Purple Blue White Shirt
23649,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Disney Men White Printed T-shirt
34388,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Myntra Men Red Life Is My Right T-shirt
19964,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Grey Sweater
15370,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011.0,Casual,Urban Yoga Women Solid Pink Sweatshirts
19450,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Quiksilver Men Black T-shirt
6246,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Lee Women's Norah Raspberry Pink T-shirt
15993,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Turtle Check Men Blue Checked ReversibleShirt
13451,Women,Apparel,Topwear,Shirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Women Check Pink Shirts
18578,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Puma Women Black Sweatshirt
2760,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Classic Polo Men's Black-Grey T-shirt
14313,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,ADIDAS Men Solid Blue Jerseys
34402,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Meltdown Black T-shirt
19600,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,United Colors of Benetton Women Black Printed Top
4323,Unisex,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Tantra Kid's Unisex Ice Cream Aqua Green Kidswear
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Paula Blue Top
3357,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Ear Plugs Black T-shirt
19408,Men,Apparel,Topwear,Tshirts,Off White,Fall,2011.0,Casual,ADIDAS Men  Off White Polo Tshirt
7450,Men,Apparel,Topwear,Tshirts,Cream,Summer,2011.0,Casual,Proline Men Cream Striped Polo T-shirt
10432,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Flying Machine Men Ydc Blue Shirts
12503,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black T-shirt
35271,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Lee Women Holly Green Top
10461,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Men White Polo Tshirts
5216,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boys Green T-shirt
12320,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Formal,Genesis Men Brown Striped Shirt
39781,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Peter England Men Striped White Formal Shirt
19628,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Printed Black Tshirt
9933,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Basics Men Grey Polo T-shirt
20264,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Wrangler Men Ride Black Tshirt
54960,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Do u speak green Men Green T-shirt
12644,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Probase Men Solid White Polo T-shirts
14132,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Printed Black Tshirts
3929,Women,Apparel,Topwear,Tshirts,Peach,Summer,2011.0,Casual,Jealous 21 Women's Peach Trendy T-shirt
6881,Women,Apparel,Topwear,Tops,Peach,Summer,2011.0,Casual,Forever New Women Sleeveless Peach Top
6237,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Lee Women's Iris White T-shirt
13510,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Chimp Men Say Cheese Green Tshirts
14782,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Arrow Men Stripes Black Shirts
12799,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue Manchester United Jersey
4865,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,ADIDAS Men White Liverpool Jersey
8165,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,Highlander Men Purple Checked Hale Slim Fit Shirt
5097,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Men's Hand Of Quality White T-shirt
9642,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Price catch Black White Shirts
26949,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Jealous 21 Women Printed Orange T-shirt
48419,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,French Connection Men Black Printed T-shirt
4258,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's Everest Grey T-shirt
9465,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men White Self Structure Shirts
35947,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Flying Machine Men White Shirt
34228,Men,Apparel,Topwear,Tshirts,Purple,Summer,2013.0,Casual,Proline Men Purple T-shirt
27892,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Scullers For Her Black Striped Shirt
34408,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Black Printed T-shirt
23182,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Black Coffee Men Blue Shirt
10850,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Wrangler Men Famous Filafil Blue T-Shirts
11029,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Check Purple Tops
7682,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Sports,Puma Men Track Black Ferrari Jacket
1803,Unisex,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Tribord Unisex Black T-shirt
59827,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,United Colors of Benetton Men Black Shirt
18973,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Blue Check Shirt
39784,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Formal,Peter England Men Red Formal Shirt
51400,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Formal,Myntra Men Yellow Shirt
9830,Women,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Little Miss Women Printed Navy Blue T-shirt
16232,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Puma Men Ess Hooded Grey Sweatshirt
26402,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Turtle Men Check Purple Shirt
52042,Unisex,Apparel,Topwear,Rain Jacket,Black,Summer,2012.0,,Just Natural Unisex Black Rain Jacket
19604,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Top
15967,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Turtle Check Men Red Shirt
37776,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,John Players Men Yellow & White Striped Shirt
6683,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Shiny Print Patch Black T-shirt
2837,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Mr.Men Maroon T-shirt
38798,Men,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Free Authority Men Pink T-shirt
6231,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Lee Men's Stallion Blue Green T-shirt
11046,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Check White Shirts
34404,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Surf Black T-shirt
50710,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Latin Quarters Women Black Top
42176,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Status Quo Men Grey Striped T-shirt
37143,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Wills Lifestyle Men Blue Gingham Shirt
55591,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Peter England Men Black Shirt
15974,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Turtle Check Men White Shirt
34409,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Black Rider Performance T-shirt
8186,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Locomotive Men Check Lai Grey Shirts
12626,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Probase Men Printed Navy Blue Tshirts
12844,Boys,Apparel,Topwear,Tshirts,Multi,Fall,2011.0,Casual,Ant Kids Boys Multicoloured Striped T-shirts
37626,Girls,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Madagascar3 Girls Pink Printed T-Shirt
19181,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,United Colors of Benetton Men Red Check Shirt
3746,Unisex,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Tantra Kid's Yumm Green Kidswear
2130,Men,Apparel,Topwear,Shirts,Green,Spring,2011.0,Casual,Basics Men Green & White Slim Fit Shirt
46811,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Black T-shirt
14910,Men,Apparel,Topwear,Tshirts,Teal,Fall,2011.0,Casual,Mr. Men Men Nonsense Green Tshirts
37710,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,John Players Men Printed Blue T-shirt
16815,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Locomotive Men Check Yellow Shirt
29165,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,United Colors of Benetton Women Printed Black & White Top
51429,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Myntra Men Blue Check Shirt
33284,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Arrow Sport Men Multi Coloured Striped Polo T-shirt
2304,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men's Manchester United Red T-shirt
16724,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,Fila Men AbeII Black Sweater
34569,Women,Apparel,Topwear,Tops,Grey,Summer,2012.0,Casual,Tonga Women Printed Grey Top
4458,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's Graphic White Blue T-shirt
39318,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Red T-shirt
18245,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Manchester United Men Printed White Tshirt
57105,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Elle Pink Essentials Top
20671,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Classic Polo Men Striped Black Tshirt
15168,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Arrow Sport Men Solid Green Polo Tshirts
6488,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,ADIDAS Men's Strip White T-shirt
19475,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Summer,2012.0,Casual,Quiksilver Men Navy Blue Nautical Sweatshirt
24288,Men,Apparel,Topwear,Sweatshirts,Grey,Summer,2012.0,Casual,Quiksilver Men Grey Sweatshirt
3412,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Mens Hard work never killed anyone T-shirt
26922,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Top
30351,Men,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Myntra Men Dog Inside Pink T-shirt
11706,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Lee Men Check Yellow Shirts
11058,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Check Purple Shirts
36319,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Mr. Men Boys Tickle Yellow T-shirt
59448,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,Arrow Sport Men White Check Slim Fit Shirt
22620,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue T-shirt
7579,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's As Repeat Grey T-shirt
9257,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
19449,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Quiksilver Men White Striped T-shirt
16220,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Sports,Puma Men Heroes Black Jackets
40258,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Scullers Men White & Navy Blue Shirt
6979,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,S.Oliver Women Pink Tank Top
4245,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Probase Men's I'M So Broke Navy T-shirt
8293,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Mr.Men Men's Purple Melange T-shirt
5863,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,ADIDAS Men's Saltero Purple T-shirt
5813,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Puma Women Blue Large Logo T-shirt
14779,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Arrow Men Stripes Green Shirts
6023,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,UCB Men's Johny Collar With Two Tone Green T-shirt
41979,Boys,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Gini and Jony Boys Around The World Grey T-shirt
26053,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Striped Blue Shirt
39855,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Printed Black T-Shirt
27545,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Scullers Men Check Black Shirt
8557,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Basics Men Grey T-shirt
31093,Boys,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Gini and Jony Boys White Shirt
1994,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Puma Women's Powergirls T-shirt
3131,Men,Apparel,Topwear,Tshirts,Brown,Fall,2010.0,Casual,DUSG Men's Periyar Cotton Melange T-shirt
45943,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mumbai Slang Women Green Top
27546,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Scullers Men Check Black Shirt
2703,Girls,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Disney Kids Girl's Check Pink Kidswear
42232,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Sepia Women Blue Top
35986,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Flying Machine Women Cotton Purple T-shirt
7832,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Proline Men Yellow Printed T-shirt
31303,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Formal,John Miller Men Purple Shirt
2714,Boys,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Boy's Red Goofy Surf Kidswear
13929,Men,Apparel,Topwear,Shirts,Beige,Summer,2011.0,Casual,United Colors of Benetton Men Solid Beige Shirts
8040,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Fila Men's Crew Neck Reglan Sleeve White Blue Red T-shirt
15008,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Sports,ADIDAS Men White Jacket
32918,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Status Quo Men Printed Blue T-shirt
11479,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,United Colors of Benetton Women Light Winter Purple Tops
22598,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Nike Women Purple T-shirt
15015,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Sports,ADIDAS Men Printed Black Sweatshirts
15183,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Arrow Sport Men Check Blue Sweaters
52140,Women,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Femella Women Charcoal Grey Polo T-Shirt
15348,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Nike Men Special Edition 3 Star Polo Black Tshirts
5848,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Puma Men's Summer Graphic Grey T-shirt
17256,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Printed Green Tshirt
27895,Women,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Scullers For Her Check Green Shirt
40674,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Blue Top
32967,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Angry Birds Men Printed Grey T-shirt
6934,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Tantra Men's Mistakes White T-shirt
16027,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Highlander Men Check Blue Shirt
26952,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Jealous 21 Women Green Top
34371,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Black JJ & Sons T-shirt
26288,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Proline Men Grey T-shirt with Printed Detail
43693,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Doodle Boys Printed White T-shirt
7596,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Sports,Nike Men's As Nike Rpeat T-Shirt
24266,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Quiksilver Men Red T-shirt
11169,Men,Apparel,Topwear,Sweaters,Green,Fall,2011.0,Casual,Scullers Men Stripes Green Sweaters
